ID,assay_rep,boldness,exploration,fitness,body_size
S_1,1,18.5745096,39.73647763,39,21.71794787
S_1,2,18.31876575,39.40754462,NA,21.54564897
S_1,3,20.33255581,40.15803494,NA,21.34163529
S_1,4,19.40499671,40.29041646,NA,20.77760987
S_2,1,20.69785766,39.46820075,56,25.70793144
S_2,2,18.59638453,40.11934697,NA,26.42660611
S_2,3,22.23753212,41.34691928,NA,26.0968418
S_2,4,19.813581,41.23401224,NA,25.74607804
S_3,1,20.35007345,38.58675281,51,29.15190906
S_3,2,19.69116766,40.95435518,NA,28.98144425
S_3,3,21.15413107,41.20694536,NA,29.10146918
S_3,4,20.0333852,39.81959347,NA,29.0321869
S_4,1,17.89334168,39.41490245,31,26.24412524
S_4,2,19.51401681,40.54886525,NA,25.55216133
S_4,3,18.8620161,42.1361511,NA,25.95095102
S_4,4,21.96500187,41.68511578,NA,25.31951464
S_5,1,19.35897781,37.30415457,39,25.15422094
S_5,2,21.8242363,38.9038413,NA,24.83814846
S_5,3,18.41315826,36.26230511,NA,24.39431395
S_5,4,20.58590261,39.7551139,NA,24.87222726
S_6,1,18.00930595,40.78697541,30,16.45663594
S_6,2,20.14148796,40.47124134,NA,17.57624291
S_6,3,17.77859996,38.6306008,NA,16.66045188
S_6,4,18.98727071,38.79753116,NA,16.81052147
S_7,1,20.42550943,40.83991847,47,23.55273587
S_7,2,19.58700145,41.18426954,NA,23.25316616
S_7,3,21.7336751,39.90178446,NA,23.83455543
S_7,4,18.7230737,39.30239589,NA,23.65879039
S_8,1,18.13439895,40.62297244,21,23.50376618
S_8,2,20.24120123,39.73607333,NA,23.5902292
S_8,3,22.30619422,42.33271904,NA,23.39777459
S_8,4,19.06493852,38.29980103,NA,22.78574009
S_9,1,22.58465113,41.01643796,45,25.41458589
S_9,2,19.77974509,40.6627197,NA,25.06037009
S_9,3,20.09401528,39.30678315,NA,25.03534191
S_9,4,22.68179873,41.82221731,NA,26.66010985
S_10,1,18.49842939,38.92345464,27,26.0698439
S_10,2,18.68559106,39.67889887,NA,26.84574636
S_10,3,19.57803676,40.056343,NA,25.91719683
S_10,4,20.21664647,40.04968653,NA,26.4060506
S_11,1,22.32039781,40.87834995,64,22.99876534
S_11,2,20.48898797,39.10848307,NA,23.97125347
S_11,3,20.22723683,40.37191186,NA,23.70413204
S_11,4,19.051995,39.89949742,NA,23.93046852
S_12,1,20.91616096,37.81439283,52,32.76142383
S_12,2,21.27703014,40.46800739,NA,32.47736857
S_12,3,22.27342381,38.86867617,NA,33.03745057
S_12,4,20.41078423,38.58334652,NA,32.92014066
S_13,1,20.53866333,39.71215283,50,23.07712244
S_13,2,20.32359029,39.49274718,NA,23.67817371
S_13,3,20.79022953,40.21868108,NA,24.25481674
S_13,4,18.79618066,40.53074962,NA,23.80861352
S_14,1,21.37803544,40.76911992,47,26.44061214
S_14,2,21.27088121,40.66842074,NA,26.07047204
S_14,3,20.24638195,40.18860954,NA,26.08147687
S_14,4,19.57130656,41.29919306,NA,25.49024335
S_15,1,19.13611222,40.72165864,41,22.91724442
S_15,2,21.41283958,40.95338505,NA,22.29515418
S_15,3,19.50181266,39.53679915,NA,23.52296094
S_15,4,19.46895569,40.72869034,NA,23.01045242
S_16,1,18.37097471,38.59754061,39,22.6159207
S_16,2,18.26029686,40.02779889,NA,23.07475745
S_16,3,19.52736189,40.55838752,NA,23.83014026
S_16,4,20.05143754,39.32440035,NA,23.0498418
S_17,1,18.44683569,39.72059783,42,27.22037926
S_17,2,20.6879928,40.55664643,NA,26.65337507
S_17,3,18.98200847,39.56166431,NA,28.46701789
S_17,4,18.80369576,42.44524404,NA,27.52014166
S_18,1,18.50842477,39.97638688,27,25.64973362
S_18,2,19.18322636,40.44815076,NA,25.89107147
S_18,3,20.69142837,40.18781262,NA,25.38108241
S_18,4,17.99614854,39.55155367,NA,25.06941274
S_19,1,22.34401916,41.10701428,45,25.08333166
S_19,2,22.84888182,42.73825173,NA,25.77796373
S_19,3,20.14439904,42.80417545,NA,25.31847279
S_19,4,21.5273713,41.76055391,NA,24.98963744
S_20,1,18.85230666,41.87526841,38,23.14750755
S_20,2,17.12083313,38.76180339,NA,23.08093792
S_20,3,17.37570302,38.51787181,NA,23.83551265
S_20,4,19.79047245,40.51536146,NA,23.61520051
S_21,1,21.60861466,42.72331413,59,28.93379981
S_21,2,22.30030419,41.29897798,NA,29.55399354
S_21,3,21.81098097,40.67751487,NA,28.61572133
S_21,4,21.19648173,40.58880893,NA,28.59599269
S_22,1,19.82548434,39.14943293,46,22.81607
S_22,2,20.54961983,39.47923901,NA,22.60407825
S_22,3,21.09381509,39.8256834,NA,21.83461893
S_22,4,19.91205425,39.18530064,NA,21.82281727
S_23,1,18.01490318,39.22846739,40,24.35813834
S_23,2,19.22932863,41.33736195,NA,24.15262708
S_23,3,15.74390674,39.34207909,NA,24.38069256
S_23,4,17.38144851,40.30252555,NA,24.32186341
S_24,1,21.49735837,41.53541458,45,19.21617987
S_24,2,21.6099297,42.40862214,NA,18.54379064
S_24,3,22.93772783,40.80844149,NA,19.70446474
S_24,4,23.36849896,42.47137143,NA,19.41669254
S_25,1,21.86196573,40.01797469,37,21.64551961
S_25,2,21.07525447,39.82292006,NA,21.36033485
S_25,3,22.06162557,39.8915512,NA,21.4857507
S_25,4,18.13422323,37.34117014,NA,20.64376577
S_26,1,19.85760078,39.33725835,46,18.62543553
S_26,2,18.14070805,39.44387226,NA,19.46859167
S_26,3,20.41953456,40.595597,NA,19.24553433
S_26,4,19.45989838,39.84347819,NA,19.19433177
S_27,1,19.50259101,37.75275105,36,20.40700109
S_27,2,20.57326579,40.83389797,NA,21.28305832
S_27,3,20.14936814,39.48762435,NA,19.51255021
S_27,4,21.24623824,40.88631868,NA,20.29802689
S_28,1,20.22773289,41.35801911,38,25.44080081
S_28,2,21.99518712,42.927774,NA,25.97627368
S_28,3,20.94291672,41.16524943,NA,24.38344927
S_28,4,20.70325748,41.97416044,NA,24.00298073
S_29,1,21.25881127,40.68237631,59,25.9407319
S_29,2,20.91039013,40.69076244,NA,26.99863454
S_29,3,19.00807026,39.90478009,NA,26.12313979
S_29,4,20.14455351,39.95128054,NA,26.5307893
S_30,1,20.69220199,40.90990575,50,26.20610628
S_30,2,20.51498039,40.21603334,NA,26.75539674
S_30,3,22.33649038,42.46162406,NA,26.08190354
S_30,4,20.69774483,41.20059826,NA,26.14560031
S_31,1,21.32019584,42.64174351,42,22.29393611
S_31,2,19.07113003,38.94922963,NA,22.83800212
S_31,3,19.11605884,41.47281384,NA,22.83452855
S_31,4,19.66203117,40.60613711,NA,22.85859253
S_32,1,19.61481465,41.83262806,40,27.75782825
S_32,2,19.76945821,40.68837828,NA,28.0838238
S_32,3,20.66833683,41.901706,NA,26.35173061
S_32,4,19.68586758,40.97376942,NA,27.99113555
S_33,1,20.53945078,38.72388173,36,26.97653091
S_33,2,19.06604481,40.52512591,NA,26.72348992
S_33,3,19.29816513,40.5664434,NA,27.33901887
S_33,4,20.05236099,39.70435206,NA,27.75618443
S_34,1,18.58572544,39.94257037,34,28.52783628
S_34,2,20.67149882,39.75654007,NA,28.90710309
S_34,3,18.55418705,38.3266427,NA,29.18332935
S_34,4,19.40398044,38.8015043,NA,29.2625579
S_35,1,20.61345211,40.49904482,37,24.64772487
S_35,2,18.14537234,39.58187303,NA,25.92216676
S_35,3,19.2172773,38.81168094,NA,24.82139313
S_35,4,18.25195995,40.7543482,NA,25.54966391
S_36,1,22.05977524,40.12956467,66,28.05960956
S_36,2,22.05315562,42.20401911,NA,28.29693504
S_36,3,21.83146525,41.70000914,NA,28.84060931
S_36,4,21.62868123,40.00866828,NA,28.58845835
S_37,1,19.14971551,41.81342048,33,28.32395689
S_37,2,20.18693534,40.82188815,NA,27.10048879
S_37,3,20.25872184,40.84300378,NA,27.44585813
S_37,4,19.96206614,39.79797717,NA,27.91755775
S_38,1,19.94453858,40.90541047,31,28.9856891
S_38,2,20.84067037,39.75552771,NA,29.05077946
S_38,3,19.0029315,40.62710791,NA,29.09013729
S_38,4,18.60136804,41.72488305,NA,28.91487784
S_39,1,19.29959245,41.15283839,37,25.84575065
S_39,2,20.07692306,39.76179345,NA,26.06525278
S_39,3,19.57291283,39.01939764,NA,25.65073382
S_39,4,20.39345401,40.29405861,NA,26.67917899
S_40,1,21.22881264,39.80004238,53,22.35825691
S_40,2,21.38939196,41.74321197,NA,21.38339089
S_40,3,20.10563798,39.76726426,NA,21.79242351
S_40,4,19.13921919,38.01157362,NA,21.77358026
S_41,1,18.46804029,40.42882978,26,28.61468635
S_41,2,19.5561695,42.09897399,NA,28.31185648
S_41,3,17.82130722,40.09019517,NA,28.51938235
S_41,4,18.60025607,41.08491227,NA,29.07361047
S_42,1,21.29281589,39.63297642,51,30.61806266
S_42,2,19.84451455,38.85883154,NA,31.03143986
S_42,3,19.65757583,39.92187865,NA,31.0571501
S_42,4,20.54993849,39.60597962,NA,30.58621051
S_43,1,20.18495373,41.08421113,31,24.98516517
S_43,2,21.27682619,39.6057029,NA,24.58699811
S_43,3,18.30215852,39.35725997,NA,23.42911135
S_43,4,22.33213024,41.24596949,NA,24.91109912
S_44,1,21.76244357,41.37572419,41,21.40527914
S_44,2,20.65908156,40.49539539,NA,22.58019389
S_44,3,20.21803559,40.29633195,NA,22.4817919
S_44,4,20.53963497,41.17234816,NA,21.12600632
S_45,1,22.29756686,39.93789303,40,25.98082672
S_45,2,19.96982911,40.26293083,NA,26.33319914
S_45,3,20.26122587,38.5820382,NA,25.42559044
S_45,4,20.01884365,39.92229703,NA,26.15135604
S_46,1,19.01446087,39.51420772,25,19.36859601
S_46,2,20.80731064,39.55906438,NA,20.65947588
S_46,3,18.41993523,38.40749979,NA,20.89865074
S_46,4,21.2760893,40.83446273,NA,20.29813947
S_47,1,20.58877747,41.46914025,29,29.47888951
S_47,2,20.40237632,39.71080874,NA,30.48873793
S_47,3,21.16153131,40.69055597,NA,30.58783323
S_47,4,18.70146661,40.67592181,NA,29.82784563
S_48,1,19.49787621,39.6621512,55,20.87340153
S_48,2,22.35475627,40.63645692,NA,21.55989074
S_48,3,22.09418299,40.21003893,NA,21.63976734
S_48,4,20.75560758,40.0128673,NA,20.77838716
S_49,1,20.37740092,39.84088425,52,24.36536194
S_49,2,20.68088713,39.48094214,NA,24.93580993
S_49,3,18.85509455,39.82576592,NA,24.48066205
S_49,4,18.85433315,38.40744881,NA,24.67907079
S_50,1,20.0007744,40.29088797,28,25.01462838
S_50,2,20.55585344,38.64958659,NA,24.78359625
S_50,3,20.23081284,37.87081647,NA,25.87273285
S_50,4,19.84477457,37.76943418,NA,25.40371958
S_51,1,19.09683036,39.43895573,32,24.73403845
S_51,2,19.60181186,40.71844453,NA,24.60672653
S_51,3,20.43654021,41.41691795,NA,24.88185076
S_51,4,19.32648499,39.32068433,NA,24.29070873
S_52,1,19.91123342,39.50946598,33,28.00036971
S_52,2,19.06961468,39.48365494,NA,28.06604594
S_52,3,18.72473882,38.77872097,NA,27.79647497
S_52,4,20.1770585,39.27934316,NA,28.17897593
S_53,1,22.13782928,40.66556963,40,22.30249049
S_53,2,18.7001698,39.77605326,NA,22.57009317
S_53,3,20.48437355,40.29263817,NA,23.75757227
S_53,4,22.10231378,40.53740879,NA,23.31477238
S_54,1,23.58150885,40.94350903,58,27.1070541
S_54,2,22.26298854,40.65482629,NA,27.36556351
S_54,3,19.65781819,39.18909036,NA,27.08715016
S_54,4,22.1682406,40.0181649,NA,27.69009351
S_55,1,19.71433756,39.84613393,48,24.93763052
S_55,2,22.64903302,41.97628084,NA,25.33871299
S_55,3,22.39194707,41.61420714,NA,25.14426276
S_55,4,19.54058953,39.37641708,NA,24.46674146
S_56,1,20.59035985,41.4057226,51,25.86723059
S_56,2,20.50735116,40.70216834,NA,26.45535183
S_56,3,22.30019594,40.04571579,NA,26.6547387
S_56,4,22.92890765,39.56071866,NA,25.30588317
S_57,1,19.17623895,41.69512448,43,25.06070414
S_57,2,19.0491262,39.15725192,NA,23.9508961
S_57,3,19.38241218,38.47438779,NA,25.07145033
S_57,4,20.16198769,40.3575801,NA,23.64310261
S_58,1,19.42365587,40.38860914,34,33.36938679
S_58,2,19.75501348,39.85549652,NA,32.64002911
S_58,3,20.23347485,39.7166257,NA,33.7655239
S_58,4,19.58007778,40.23288572,NA,33.94189984
S_59,1,18.9295295,39.19304963,44,27.45224714
S_59,2,20.45813719,41.23513477,NA,26.54043195
S_59,3,19.4193763,40.99433115,NA,27.44880215
S_59,4,21.22518646,40.705727,NA,28.56836281
S_60,1,20.53570821,40.88326251,39,31.90871898
S_60,2,22.75875296,42.37378615,NA,31.96444173
S_60,3,21.74232283,41.64300065,NA,32.49921432
S_60,4,20.68473989,42.2766288,NA,33.0940735
S_61,1,19.25353509,40.81729853,42,19.6593794
S_61,2,17.76852472,39.28532625,NA,19.06607232
S_61,3,19.0271342,41.44561228,NA,20.01686034
S_61,4,18.13713169,40.60254473,NA,20.1768535
S_62,1,20.19518706,40.94549208,41,26.7213667
S_62,2,19.66232524,40.10973146,NA,26.24088397
S_62,3,21.03420818,40.73220836,NA,26.31647725
S_62,4,20.86252731,41.72905322,NA,25.33477196
S_63,1,20.63709982,39.19661314,44,22.92010014
S_63,2,23.04245451,41.30447778,NA,22.93587026
S_63,3,21.49755107,39.58030808,NA,22.96159118
S_63,4,19.31732375,38.96806093,NA,22.432261
S_64,1,18.43068368,38.33691162,31,24.81768048
S_64,2,19.3484425,39.43751105,NA,25.11260155
S_64,3,18.93628894,39.52332797,NA,25.62101515
S_64,4,20.08166983,40.15151417,NA,24.9801287
S_65,1,19.1674846,39.60480632,37,23.1529361
S_65,2,19.2231127,39.85275943,NA,23.04266307
S_65,3,18.85731024,40.54528624,NA,23.42753726
S_65,4,19.70579194,40.47052042,NA,22.89089602
S_66,1,19.24635953,39.85470514,31,27.6783358
S_66,2,19.63941585,41.41567029,NA,27.22191614
S_66,3,20.67771856,42.20250799,NA,27.45024969
S_66,4,19.69073022,42.24890289,NA,27.23742714
S_67,1,19.0560628,39.11090655,39,24.17174377
S_67,2,19.86395524,39.63921231,NA,23.23804694
S_67,3,21.56838174,42.36185079,NA,23.4784784
S_67,4,17.79989059,38.99614836,NA,23.07859173
S_68,1,21.15966078,40.79979756,54,27.76038711
S_68,2,23.81928214,43.74182233,NA,26.57099236
S_68,3,20.54850872,40.29381019,NA,27.52056202
S_68,4,19.33675429,40.44581263,NA,26.10504957
S_69,1,16.31756463,40.11389054,23,23.85762467
S_69,2,16.93668946,39.47974165,NA,23.9787928
S_69,3,19.71236016,42.01701186,NA,24.44228918
S_69,4,18.66910165,41.56344395,NA,23.93142755
S_70,1,20.17746827,41.78425057,43,22.06844048
S_70,2,22.50101972,40.55407668,NA,22.89070453
S_70,3,21.45732961,40.23777379,NA,21.69734197
S_70,4,19.49076636,40.03909035,NA,23.16310072
S_71,1,22.06281696,42.01746306,49,25.19432351
S_71,2,17.76583672,39.73186569,NA,25.05266434
S_71,3,19.70710264,40.19349905,NA,25.51615506
S_71,4,19.53202232,39.18434103,NA,24.87934936
S_72,1,19.91002419,40.21590844,45,25.09984847
S_72,2,18.57401669,41.99484899,NA,25.02271333
S_72,3,17.54967834,40.35248615,NA,25.81657048
S_72,4,18.60217024,40.94391578,NA,25.63359068
S_73,1,18.71770556,39.95255571,33,28.05957703
S_73,2,18.58019541,38.55973704,NA,27.65866597
S_73,3,18.98818043,39.53050294,NA,28.25937097
S_73,4,20.21768061,38.9252541,NA,27.13880425
S_74,1,20.36041288,38.67249899,39,24.68501165
S_74,2,20.56908143,39.55942877,NA,24.94681201
S_74,3,20.81276758,39.22937177,NA,23.1206498
S_74,4,20.54985267,38.51930007,NA,23.44978048
S_75,1,21.85326537,39.93517873,41,28.0999169
S_75,2,19.66291903,38.82544365,NA,28.74590774
S_75,3,19.98338496,39.43597934,NA,28.95402061
S_75,4,20.44933221,40.29441094,NA,28.9164229
S_76,1,21.52667379,41.09658491,43,22.30747621
S_76,2,21.12978811,39.9729223,NA,22.6326136
S_76,3,21.9489244,40.4288028,NA,21.7283838
S_76,4,20.64700307,41.59789151,NA,23.01838127
S_77,1,21.51475656,41.68957303,46,23.26244552
S_77,2,23.43543047,41.4365826,NA,23.76417271
S_77,3,20.78564865,39.91056258,NA,23.18578093
S_77,4,21.21446951,40.73389363,NA,23.05101627
S_78,1,18.35673373,38.29688526,29,22.33382772
S_78,2,18.24403996,39.02968458,NA,21.30773505
S_78,3,17.48229291,37.99925956,NA,21.71008906
S_78,4,17.44530014,40.03662821,NA,20.93432664
S_79,1,21.025615,41.05893455,32,28.80893425
S_79,2,20.1115862,40.28072989,NA,29.9064397
S_79,3,20.42263932,39.12617194,NA,28.77228185
S_79,4,19.98179916,38.62073536,NA,29.2348008
S_80,1,19.21413924,40.04106897,27,25.76095486
S_80,2,18.86189248,39.38399579,NA,26.42052131
S_80,3,19.22601903,41.03993142,NA,25.70120918
S_80,4,19.86607556,39.96860842,NA,26.54354769